unnamed,product_id,brand,title,price,category,rating,image_url,product_url,Final pharse,clusters
0,B08YRWN3WB,jansport,big student large laptop backpack black ekabahn,189.0,new season,4.7,https://m.media-amazon.com/images/I/51y2EF0OmOL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRWN3WB,jansportbig student large laptop backpack black ekabahnnew season,8
1,B08YRXFZZM,jansport,superbreak day pack,119.0,new season,4.6,https://m.media-amazon.com/images/I/51yvvQUs3SL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRXFZZM,jansportsuperbreak day packnew season,8
2,B09Q2PQ7ZB,baodini,mini travel umbrella case small compact uv umbrella protection sun lightweight tiny pocket umbrella,17.79,new season,4.2,https://m.media-amazon.com/images/I/71WbrZPbnGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09Q2PQ7ZB,baodinimini travel umbrella case small compact uv umbrella protection sun lightweight tiny pocket umbrellanew season,10
3,B001BEAWXY,calvin klein,men cotton classic pack boxer brief,119.0,new season,4.2,https://m.media-amazon.com/images/I/716vzeqa7ZL._AC_UL320_.jpg,https://www.amazon.ae/dp/B001BEAWXY,calvin kleinmen cotton classic pack boxer briefnew season,0
4,B09FM5PMN3,jansport,unisex kid bag backpack,179.0,new season,4.4,https://m.media-amazon.com/images/I/51XASBuqjrL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09FM5PMN3,jansportunisex kid bag backpacknew season,8
5,B08YRVSZLJ,jansport,superbreak backpack,129.0,new season,4.6,https://m.media-amazon.com/images/I/51kw4XtzuyL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRVSZLJ,jansportsuperbreak backpacknew season,8
6,B0BY12QTS5,yeug,non slip pilate sock grip woman grip sock yoga ballet barefoot workout anti skid athletic sock,19.0,new season,4.6,https://m.media-amazon.com/images/I/71g1ZrrOk9L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0BY12QTS,yeugnon slip pilate sock grip woman grip sock yoga ballet barefoot workout anti skid athletic socknew season,10
7,B09N2PJXRZ,adidas,unisex classic stripe backpack backpack,77.0,new season,4.5,https://m.media-amazon.com/images/I/81Beonq+r1L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2PJXRZ,adidasunisex classic stripe backpack backpacknew season,0
8,B08GS7DWS1,tommy hilfiger,theo men watch analog,209.6,new season,4.4,https://m.media-amazon.com/images/I/614YUufLpwL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08GS7DWS,tommy hilfigertheo men watch analognew season,9
10,B09F35Y815,nike,men elmntl lbr backpack,119.0,new season,4.6,https://m.media-amazon.com/images/I/61OkQHiZOnL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09F35Y8,nikemen elmntl lbr backpacknew season,8
11,B08YRX1PF2,jansport,jansport big student groer rucksack inch laptopfach,123.85,new season,4.6,https://m.media-amazon.com/images/I/61pIosB5rHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRX1PF,jansportjansport big student groer rucksack inch laptopfachnew season,8
12,B0C8TJ79FM,livbote,gym bag woman men shoe compartment sport duffel bag waterproof travel weekender overnight carry bag yoga trolley sleeve black ablack shoe compartment,37.9,new season,4.5,https://m.media-amazon.com/images/I/71G56RIbyGL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0C8TJ79FM,livbotegym bag woman men shoe compartment sport duffel bag waterproof travel weekender overnight carry bag yoga trolley sleeve black ablack shoe compartmentnew season,7
13,B09N2NDN9V,adidas,unisex power backpack backpack,87.15,new season,4.6,https://m.media-amazon.com/images/I/91fV9nyuv7L._AC_UL320_.jpg,https://www.amazon.ae/dp/B09N2NDN9V,adidasunisex power backpack backpacknew season,8
14,B09NYGYSM7,nike,nk brsla x duff l,109.0,new season,4.7,https://m.media-amazon.com/images/I/81E3Y3wxgxL._AC_UL320_.jpg,https://www.amazon.ae/dp/B09NYGYSM7,nikenk brsla x duff lnew season,8
15,B08YRYDXYB,jansport,unisex big student big student,189.0,new season,4.6,https://m.media-amazon.com/images/I/510wZIlA3rL._AC_UL320_.jpg,https://www.amazon.ae/dp/B08YRYDXYB,jansportunisex big student big studentnew season,8
17,B07DRHG6XT,tijn,blue light blocking glass photochromic lens sunglass anti eyestrain uvauvb woman men,24.7,new season,4.3,https://m.media-amazon.com/images/I/61TnSoBdnNL._AC_UL320_.jpg,https://www.amazon.ae/dp/B07DRHG6XT,tijnblue light blocking glass photochromic lens sunglass anti eyestrain uvauvb woman mennew season,8
18,B0DTZ4JKGH,nike,unisex elmntl hbr backpack,136.0,new season,5.0,https://m.media-amazon.com/images/I/71W9XnuJoHL._AC_UL320_.jpg,https://www.amazon.ae/dp/B0DTZ4JKGH,nikeunisex elmntl hbr backpacknew season,8
19,B0774XP86B,crep protect,ultimate scuff eraser sneaker cleaner suede nubuck shoe,49.0,new season,4.2,https://m.media-amazon.com/images/I/71xd1y8Y50L._AC_UL320_.jpg,https://www.amazon.ae/dp/B0774XP86B,crep protectultimate scuff eraser sneaker cleaner suede nubuck shoenew season,8
